state,fips,county,pop,area,lat,lon
AL,1001,Autauga,54571,1565.358,+32.536382ø,?86.644490ø
AL,1003,Baldwin,182265,5250.712,+30.659218ø,?87.746067ø
AL,1005,Barbour,27457,2342.684,+31.870670ø,?85.405456ø
AL,1007,Bibb,22915,1621.77,+33.015893ø,?87.127148ø
AL,1009,Blount,57322,1685.119,+33.977448ø,?86.567246ø
AL,1011,Bullock,10914,1619.113,+32.101759ø,?85.717261ø
AL,1013,Butler,20947,2014.704,+31.751667ø,?86.681969ø
AL,1015,Calhoun,118572,1585.814,+33.771706ø,?85.822513ø
AL,1017,Chambers,34215,1562.057,+32.917943ø,?85.391812ø
AL,1019,Cherokee,25989,1553.935,+34.069515ø,?85.654242ø
AL,1021,Chilton,43643,1815.07,+32.854060ø,?86.726628ø
AL,1023,Choctaw,13859,2385.014,+31.991008ø,?88.248887ø
AL,1025,Clarke,25833,3244.152,+31.685521ø,?87.818624ø
AL,1027,Clay,13932,1569.537,+33.267809ø,?85.862051ø
AL,1029,Cleburne,14972,1453.018,+33.671981ø,?85.516109ø
AL,1031,Coffee,49948,1762.474,+31.402183ø,?85.989201ø
AL,1033,Colbert,54428,1611.308,+34.703112ø,?87.801457ø
AL,1035,Conecuh,13228,2208.54,+31.428293ø,?86.992029ø
AL,1037,Coosa,11539,1725.838,+32.931445ø,?86.243482ø
AL,1039,Covington,37765,2703.396,+31.243987ø,?86.448721ø
AL,1041,Crenshaw,13906,1582.264,+31.732826ø,?86.319222ø
AL,1043,Cullman,80406,1955.495,+34.131923ø,?86.869267ø
AL,1045,Dale,50251,1457.388,+31.430654ø,?85.609476ø
AL,1047,Dallas,43820,2573.942,+32.333540ø,?87.114356ø
AL,1049,DeKalb,71109,2016.786,+34.460929ø,?85.803992ø
AL,1051,Elmore,79303,1701.73,+32.597229ø,?86.142739ø
AL,1053,Escambia,38319,2468.62,+31.121748ø,?87.168429ø
AL,1055,Etowah,104430,1420.942,+34.047638ø,?86.034420ø
AL,1057,Fayette,17241,1630.024,+33.732249ø,?87.752049ø
AL,1059,Franklin,31704,1674.486,+34.441988ø,?87.842815ø
AL,1061,Geneva,26790,1499.476,+31.090866ø,?85.824346ø
AL,1063,Greene,9045,1709.238,+32.844497ø,?87.964201ø
AL,1065,Hale,15760,1700.33,+32.752796ø,?87.623061ø
AL,1067,Henry,17302,1471.913,+31.516978ø,?85.239971ø
AL,1069,Houston,101547,1506.478,+31.158193ø,?85.296398ø
AL,1071,Jackson,53227,2918.322,+34.763522ø,?85.977400ø
AL,1073,Jefferson,658466,2910.667,+33.553444ø,?86.896536ø
AL,1075,Lamar,14564,1568.145,+33.787085ø,?88.087431ø
AL,1077,Lauderdale,92709,1867.355,+34.904122ø,?87.650997ø
AL,1079,Lawrence,34339,1857.535,+34.529776ø,?87.321865ø
AL,1081,Lee,140247,1595.041,+32.604064ø,?85.353048ø
AL,1083,Limestone,82782,1572.61,+34.810239ø,?86.981400ø
AL,1085,Lowndes,11299,1877.923,+32.147888ø,?86.650586ø
AL,1087,Macon,21452,1588.199,+32.387027ø,?85.692887ø
AL,1089,Madison,334811,2104.888,+34.764238ø,?86.551080ø
AL,1091,Marengo,21027,2545.107,+32.247591ø,?87.791091ø
AL,1093,Marion,30776,1925.84,+34.138219ø,?87.881551ø
AL,1095,Marshall,93019,1614.026,+34.309564ø,?86.321668ø
AL,1097,Mobile,412992,4257.974,+30.684573ø,?88.196568ø
AL,1099,Monroe,23068,2679.128,+31.580332ø,?87.383266ø
AL,1101,Montgomery,229363,2071.762,+32.203651ø,?86.203831ø
AL,1103,Morgan,119490,1551.541,+34.454484ø,?86.846402ø
AL,1105,Perry,10591,1874.839,+32.639005ø,?87.293827ø
AL,1107,Pickens,19746,2305.415,+33.296809ø,?88.096878ø
AL,1109,Pike,32899,1743.078,+31.798726ø,?85.941997ø
AL,1111,Randolph,22913,1512.902,+33.296475ø,?85.464068ø
AL,1113,Russell,52947,1676.219,+32.289811ø,?85.186980ø
AL,1115,St. Clair,83593,1692.919,+33.712963ø,?86.315663ø
AL,1117,Shelby,195085,2096.661,+33.262937ø,?86.678104ø
AL,1119,Sumter,13763,2365.494,+32.597481ø,?88.200057ø
AL,1121,Talladega,82291,1969.184,+33.369277ø,?86.175805ø
AL,1123,Tallapoosa,41616,1984.589,+32.863369ø,?85.799553ø
AL,1125,Tuscaloosa,194656,3499.725,+33.290202ø,?87.522860ø
AL,1127,Walker,67023,2085.441,+33.791571ø,?87.301092ø
AL,1129,Washington,17581,2819.373,+31.406974ø,?88.202078ø
AL,1131,Wilcox,11670,2350.185,+31.990330ø,?87.302205ø
AL,1133,Winston,24484,1636.531,+34.155888ø,?87.364147ø
