cbsa,fips
"Aberdeen, SD",46013
"Aberdeen, SD",46045
"Aberdeen, WA",53027
"Abilene, TX",48059
"Abilene, TX",48253
"Abilene, TX",48441
"Ada, OK",40123
"Adrian, MI",26091
"Aguadilla-Isabela, PR",72003
"Aguadilla-Isabela, PR",72005
"Aguadilla-Isabela, PR",72011
"Aguadilla-Isabela, PR",72071
"Aguadilla-Isabela, PR",72081
"Aguadilla-Isabela, PR",72099
"Aguadilla-Isabela, PR",72117
"Aguadilla-Isabela, PR",72131
"Aguadilla-Isabela, PR",72141
"Akron, OH",39133
"Akron, OH",39153
"Alamogordo, NM",35035
"Albany, GA",13095
"Albany, GA",13177
"Albany, GA",13273
"Albany, GA",13321
"Albany-Lebanon, OR",41043
"Albany-Schenectady-Troy, NY",36001
"Albany-Schenectady-Troy, NY",36083
"Albany-Schenectady-Troy, NY",36091
"Albany-Schenectady-Troy, NY",36093
"Albany-Schenectady-Troy, NY",36095
"Albemarle, NC",37167
"Albert Lea, MN",27047
"Albertville, AL",01095
"Albuquerque, NM",35001
"Albuquerque, NM",35043
"Albuquerque, NM",35057
"Albuquerque, NM",35061
"Alexander City, AL",01037
"Alexander City, AL",01123
"Alexandria, LA",22043
"Alexandria, LA",22079
"Alexandria, MN",27041
"Alice, TX",48131
"Alice, TX",48249
"Allentown-Bethlehem-Easton, PA-NJ",34041
"Allentown-Bethlehem-Easton, PA-NJ",42025
"Allentown-Bethlehem-Easton, PA-NJ",42077
"Allentown-Bethlehem-Easton, PA-NJ",42095
"Alma, MI",26057
"Alpena, MI",26007
"Altoona, PA",42013
"Altus, OK",40065
"Amarillo, TX",48011
"Amarillo, TX",48065
"Amarillo, TX",48359
"Amarillo, TX",48375
"Amarillo, TX",48381
"Americus, GA",13249
"Americus, GA",13261
"Ames, IA",19015
"Ames, IA",19169
"Amsterdam, NY",36057
"Anchorage, AK",02020
"Anchorage, AK",02170
"Andrews, TX",48003
"Angola, IN",18151
"Ann Arbor, MI",26161
"Anniston-Oxford, AL",01015
"Appleton, WI",55015
"Appleton, WI",55087
"Arcadia, FL",12027
"Ardmore, OK",40019
"Ardmore, OK",40085
"Arecibo, PR",72013
"Arecibo, PR",72027
"Arecibo, PR",72065
"Arecibo, PR",72115
"Arkadelphia, AR",05019
"Asheville, NC",37021
"Asheville, NC",37087
"Asheville, NC",37089
"Asheville, NC",37115
"Ashland, OH",39005
"Ashtabula, OH",39007
"Astoria, OR",41007
"Atchison, KS",20005
"Athens, OH",39009
"Athens, TN",47107
"Athens, TX",48213
"Athens-Clarke County, GA",13059
"Athens-Clarke County, GA",13195
"Athens-Clarke County, GA",13219
"Athens-Clarke County, GA",13221
"Atlanta-Sandy Springs-Alpharetta, GA",13013
"Atlanta-Sandy Springs-Alpharetta, GA",13015
"Atlanta-Sandy Springs-Alpharetta, GA",13035
"Atlanta-Sandy Springs-Alpharetta, GA",13045
"Atlanta-Sandy Springs-Alpharetta, GA",13057
"Atlanta-Sandy Springs-Alpharetta, GA",13063
"Atlanta-Sandy Springs-Alpharetta, GA",13067
"Atlanta-Sandy Springs-Alpharetta, GA",13077
"Atlanta-Sandy Springs-Alpharetta, GA",13085
"Atlanta-Sandy Springs-Alpharetta, GA",13089
