fips,rucc_2013,metro_nonmetro
01001,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
01003,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01005,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01007,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01009,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01011,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01013,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01015,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01017,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01019,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01021,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01023,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
01025,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
01027,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
01029,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01031,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01033,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01035,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
01037,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01039,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01041,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01043,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01045,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01047,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01049,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01051,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
01053,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01055,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01057,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01059,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01061,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01063,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01065,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01067,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01069,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01071,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01073,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01075,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01077,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01079,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01081,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01083,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
01085,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
01087,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01089,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
01091,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
01093,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
